t,p,q,in equilibrium,p_e,q_e
101,49.99999,51.00001,False,49.9999899,51.0000101
102,49.9999899,52.0000101,False,49.9999898,52.0000102
103,49.9999898,53.0000102,False,49.9999897,53.0000103
104,49.9999897,54.0000103,False,49.9999896,54.0000104
105,49.9999896,50.0000104,False,49.9999895,50.0000105
106,49.9999895,51.0000105,False,49.9999894,51.0000106
107,49.9999894,52.0000106,False,49.9999893,52.0000107
108,49.9999893,53.0000107,False,49.9999892,53.0000108
109,49.9999892,54.0000108,False,49.9999891,54.0000109
110,49.9999891,50.0000109,False,49.999989,50.000011
111,49.999989,51.000011,False,49.9999889,51.0000111
112,49.9999889,52.0000111,False,49.9999888,52.0000112
113,49.9999888,53.0000112,False,49.9999887,53.0000113
114,49.9999887,54.0000113,False,49.9999886,54.0000114
115,49.9999886,50.0000114,False,49.9999885,50.0000115
116,49.9999885,51.0000115,False,49.9999884,51.0000116
117,49.9999884,52.0000116,False,49.9999883,52.0000117
118,49.9999883,53.0000117,False,49.9999882,53.0000118
119,49.9999882,54.0000118,False,49.9999881,54.0000119
120,49.9999881,50.0000119,False,49.999988,50.000012
121,49.999988,51.000012,False,49.9999879,51.0000121
122,49.9999879,52.0000121,False,49.9999878,52.0000122
123,49.9999878,53.0000122,False,49.9999877,53.0000123
124,49.9999877,54.0000123,False,49.9999876,54.0000124
125,49.9999876,50.0000124,False,49.9999875,50.0000125
126,49.9999875,51.0000125,False,49.9999874,51.0000126
127,49.9999874,52.0000126,False,49.9999873,52.0000127
128,49.9999873,53.0000127,False,49.9999872,53.0000128
129,49.9999872,54.0000128,False,49.9999871,54.0000129
130,49.9999871,50.0000129,False,49.999987,50.000013
131,49.999987,51.000013,False,49.9999869,51.0000131
132,49.9999869,52.0000131,False,49.9999868,52.0000132
133,49.9999868,53.0000132,False,49.9999867,53.0000133
134,49.9999867,54.0000133,False,49.9999866,54.0000134
135,49.9999866,50.0000134,False,49.9999865,50.0000135
136,49.9999865,51.0000135,False,49.9999864,51.0000136
137,49.9999864,52.0000136,False,49.9999863,52.0000137
138,49.9999863,53.0000137,False,49.9999862,53.0000138
139,49.9999862,54.0000138,False,49.9999861,54.0000139
140,49.9999861,50.0000139,False,49.999986,50.000014
141,49.999986,51.000014,False,49.9999859,51.0000141
142,49.9999859,52.0000141,False,49.9999858,52.0000142
143,49.9999858,53.0000142,False,49.9999857,53.0000143
144,49.9999857,54.0000143,False,49.9999856,54.0000144
145,49.9999856,50.0000144,False,49.9999855,50.0000145
146,49.9999855,51.0000145,False,49.9999854,51.0000146
147,49.9999854,52.0000146,False,49.9999853,52.0000147
148,49.9999853,53.0000147,False,49.9999852,53.0000148
149,49.9999852,54.0000148,False,49.9999851,54.0000149
150,49.9999851,50.0000149,False,49.999985,50.000015
151,49.999985,51.000015,False,49.9999849,51.0000151
152,49.9999849,52.0000151,False,49.9999848,52.0000152
153,49.9999848,53.0000152,False,49.9999847,53.0000153
154,49.9999847,54.0000153,False,49.9999846,54.0000154
155,49.9999846,50.0000154,False,49.9999845,50.0000155
156,49.9999845,51.0000155,False,49.9999844,51.0000156
157,49.9999844,52.0000156,False,49.9999843,52.0000157
158,49.9999843,53.0000157,False,49.9999842,53.0000158
159,49.9999842,54.0000158,False,49.9999841,54.0000159
160,49.9999841,50.0000159,False,49.999984,50.000016
161,49.999984,51.000016,False,49.9999839,51.0000161
162,49.9999839,52.0000161,False,49.9999838,52.0000162
163,49.9999838,53.0000162,False,49.9999837,53.0000163
164,49.9999837,54.0000163,False,49.9999836,54.0000164
165,49.9999836,50.0000164,False,49.9999835,50.0000165
166,49.9999835,51.0000165,False,49.9999834,51.0000166
167,49.9999834,52.0000166,False,49.9999833,52.0000167
168,49.9999833,53.0000167,False,49.9999832,53.0000168
169,49.9999832,54.0000168,False,49.9999831,54.0000169
170,49.9999831,50.0000169,False,49.999983,50.000017
171,49.999983,51.000017,False,49.9999829,51.0000171
172,49.9999829,52.0000171,False,49.9999828,52.0000172
173,49.9999828,53.0000172,False,49.9999827,53.0000173
174,49.9999827,54.0000173,False,49.9999826,54.0000174
175,49.9999826,50.0000174,False,49.9999825,50.0000175
176,49.9999825,51.0000175,False,49.9999824,51.0000176
177,49.9999824,52.0000176,False,49.9999823,52.0000177
178,49.9999823,53.0000177,False,49.9999822,53.0000178
179,49.9999822,54.0000178,False,49.9999821,54.0000179
180,49.9999821,50.0000179,False,49.999982,50.000018
181,49.999982,51.000018,False,49.9999819,51.0000181
182,49.9999819,52.0000181,False,49.9999818,52.0000182
183,49.9999818,53.0000182,False,49.9999817,53.0000183
184,49.9999817,54.0000183,False,49.9999816,54.0000184
185,49.9999816,50.0000184,False,49.9999815,50.0000185
186,49.9999815,51.0000185,False,49.9999814,51.0000186
187,49.9999814,52.0000186,False,49.9999813,52.0000187
188,49.9999813,53.0000187,False,49.9999812,53.0000188
189,49.9999812,54.0000188,False,49.9999811,54.0000189
190,49.9999811,50.0000189,False,49.999981,50.000019
191,49.999981,51.000019,False,49.9999809,51.0000191
192,49.9999809,52.0000191,False,49.9999808,52.0000192
193,49.9999808,53.0000192,False,49.9999807,53.0000193
194,49.9999807,54.0000193,False,49.9999806,54.0000194
195,49.9999806,50.0000194,False,49.9999805,50.0000195
196,49.9999805,51.0000195,False,49.9999804,51.0000196
197,49.9999804,52.0000196,False,49.9999803,52.0000197
198,49.9999803,53.0000197,False,49.9999802,53.0000198
199,49.9999802,54.0000198,False,49.9999801,54.0000199
200,49.9999801,50.0000199,False,49.99998,50.00002
201,49.99998,51.00002,False,49.9999799,51.0000201
202,49.9999799,52.0000201,False,49.9999798,52.0000202
203,49.9999798,53.0000202,False,49.9999797,53.0000203
204,49.9999797,54.0000203,False,49.9999796,54.0000204
205,49.9999796,50.0000204,False,49.9999795,50.0000205
